"HolderAddress","BalanceInETH","Timeframe"
0x16efa79798245378aa50ec23020a638a96439372,5028.420000000000393216,Up to 30 days
0xd87ad4dcdae01115397d8f449f643f8ba79aa800,5017.014119782937526272,Over 360 days
0xcf0303eecae747e466114cb07841b43bdc17315a,5009.6,Over 360 days
0xd56b5d244151350370650489ba28df9b584d37bd,5001.354199999999639552,Up to 30 days
0xc078b0a89eb8228f3beffd4403509e699460eba5,5000.0,181 to 360 days
0x939fa4d76a7948b248f7a5f99eeb8c4c49f0450f,5000.0,Up to 30 days
0x26791567ac07abb987ed593453dfd7691625f1ac,4936.909090909000302592,Over 360 days
0x5ecc877a6480d151575275ef233282167d07af1b,4838.079081047442587648,181 to 360 days
0xa3222357a0eccf60c73606170be6c99adecb59b3,4811.843260862476320768,Up to 30 days
0x358962af727efe088d0a72a3b00e239964259e1c,4783.315059482614038528,31 to 90 days
0x91d501b76116248f2cd3685d280702104f704185,4603.000427410000183296,91 to 180 days
0x309c542bf2b7f7dfce6afccd26ba4a66220b71f4,4562.980480667285454848,Over 360 days
0xc8a51f193c35edc394616ca00a782377017ab675,4561.110800000000458752,31 to 90 days
0x7df7a77c48cfbdfbea6af5487097111452a3e6ca,4502.279999999999737856,91 to 180 days
0x5f48563ea97e34e4545aae0a70bd2545a089ee35,4468.870318129999773696,Over 360 days
0xda5dd51a8869aa961b13a3fcae5ef5e2cd565bef,4421.145094519064625152,181 to 360 days
0x406cbfc2d391bed42078138165465128b4e0cb06,4299.351603619649552384,Over 360 days
0x0885280a5e3068a876f4cb6cb21c170fb8c93134,4273.591801230198833152,Over 360 days
0xa0794473a19177d2192867a3a84e1dd97cac0d22,4254.716490114006515712,91 to 180 days
0xb1c4382b927b953d4fac74b14cb1a54bf991408b,4123.412632920000036864,31 to 90 days
0x3051adf392679e50cd9b540fcf1720d1038310e1,4110.965247567870296064,31 to 90 days
0x6d17b3f12059eb2ee0b1dccc79dad77bcba870dc,4110.247861080530878464,31 to 90 days
0x80787af194c33b74a811f5e5c549316269d7ee1a,4053.322139219999588352,31 to 90 days
0x996ddeedea6912d8ba65555c71c289d97115b301,4052.561963119026372608,31 to 90 days
0x6d9a4667e14783282517d0e3ebecf29da808c6de,4000.878169512653881344,31 to 90 days
0x35a112903e8ac1368e92b26774fc6c46ec097eff,3976.26270000000008192,Up to 30 days
0xde853f564bdec2c7f16d46b6125a443ba730671e,3975.477248679999963136,Over 360 days
0x26d565bab7be93cb5579a29e139afc81f8a10c76,3935.671004231781842944,91 to 180 days
0x5b61366073b1c0261d9b04a3b7a3cf07e1925c37,3930.804786005579661312,Over 360 days
0x2fd68108d403213f69c46502e14286a9c88863cb,3796.860000000000131072,Over 360 days
0xa03400e098f4421b34a3a44a1b4e571419517687,3781.636248614032375808,181 to 360 days
0x0e6b9cb52720668a66ffe8c7ea58fad6b9a95af3,3765.718600000000229376,Up to 30 days
0xc0bf98352ce9b1778b0127ccf5399471527cece3,3663.105368399999926272,Up to 30 days
0x7d6386372fbf3c5df357541e5df5ef319f5b736d,3650.0,Up to 30 days
0xf3c046fe4e29c9b01d71db9a7e576bccda6d4833,3635.000000000000262144,Over 360 days
0x57b4cdb513d257e729f606f90ee5646cf46fae52,3610.0,181 to 360 days
0x855e188fcb43b6b472440ff703e01553175fc884,3585.194506389999845376,Over 360 days
0x58a905870fa0ac51a34c3122ac864cd923d0e721,3579.927655894365503488,Over 360 days
0xfe0b7e3d14e8969f2daf5ad263596cedfcd20293,3558.725300000000049152,Over 360 days
0x1704987ae7e0f305ef9f82f9b8608de2a85aca5c,3549.732488540687695872,Over 360 days
0x4a2be53516f33304b3b88f848ea819f70a5cb67c,3505.2,Up to 30 days
0x5e3158b3e477eea1c9f4e555d6a0134696bab0a3,3500.0,Over 360 days
0x85ce92457ba65287bba825aa1790326f06077397,3460.497447880444870656,Up to 30 days
0xb7f5ead793868cea7c532da68b266c10fa71453c,3425.776700000000016384,91 to 180 days
0x99bb0b7c615ea46397f541778a41f1a0c04afeb1,3399.598382184770568192,Over 360 days
0x24f1d2b31d30b9dc64ca6383dcbf364a917d716b,3397.731815199420710912,31 to 90 days
0xf6765af7f060033809bd60bbf4da73dee52d6027,3387.176301306543341568,Over 360 days
0x137e49ee99eab7e7b42a37d550865fcff8c2c775,3334.739436059999862784,91 to 180 days
0x6f9b13c16a9b0afce0fe43d2737deb604c4442d1,3302.419999999999868928,Up to 30 days
0xa7377f72df32b3ce72d623f3efa2c3347464af65,3274.817000000000098304,31 to 90 days
0xafa247606aafea28b467db3d8e07faf0f12df6c1,3262.778222801846272,91 to 180 days
0xeecec4c55c5c03d436ef751206761030cbe0f519,3209.550636948308099072,Over 360 days
